Date,Arrivals,Occupied,OccPercent,RoomRev,RevPAR,ADR
2023-07-02,26,50,76.92,4030.55,62.01,80.61
2023-07-03,21,38,53.52,2893.33,40.75,76.14
2023-07-04,18,34,50.75,2757.85,41.16,81.11
2023-07-05,31,43,58.9,3392.2,46.47,78.89
2023-07-06,26,51,68.92,3907.46,52.8,76.62
2023-07-07,34,52,70.27,4430.95,59.88,85.21
2023-07-08,37,59,79.73,4917.43,66.45,83.35
2023-07-09,36,53,71.62,4101.64,55.43,77.39
2023-07-10,39,56,75.68,4216.78,56.98,75.3
2023-07-11,37,65,87.84,4971.52,67.18,76.48
2023-07-12,34,63,85.14,4944.81,66.82,78.49
2023-07-13,27,53,71.62,3967.8,53.62,74.86
2023-07-14,28,54,72.97,4575.98,61.84,84.74
2023-07-15,36,61,82.43,5261.77,71.11,86.26
2023-07-16,25,44,64.71,3752.77,55.19,85.29
2023-07-17,20,43,64.18,3625.12,54.11,84.31
2023-07-18,19,36,50.0,2957.17,41.07,82.14
2023-07-19,20,48,64.86,3899.72,52.7,81.24
2023-07-20,32,54,73.97,4344.44,59.51,80.45
2023-07-21,41,71,94.67,6809.56,90.79,95.91
2023-07-22,37,70,94.59,6322.48,85.44,90.32
2023-07-23,20,43,64.18,3585.03,53.51,83.37
2023-07-24,20,39,54.17,3193.46,44.35,81.88
2023-07-25,21,41,62.12,3233.86,49.0,78.87
2023-07-26,18,38,73.08,2949.78,56.73,77.63
2023-07-27,27,51,83.61,4226.04,69.28,82.86
2023-07-28,43,61,82.43,5619.31,75.94,92.12
2023-07-29,39,67,90.54,6282.89,84.9,93.77
2023-07-30,17,32,58.18,2655.8,48.29,82.99
2023-07-31,17,32,53.33,2578.57,42.98,80.58
2023-08-01,25,41,67.21,3235.3,53.04,78.91
2023-08-02,25,54,77.14,4292.77,61.33,79.5
2023-08-03,22,42,60.0,3232.38,46.18,76.96
2023-08-04,33,50,74.63,4465.13,66.64,89.3
2023-08-05,47,72,97.3,7149.34,96.61,99.3
2023-08-06,21,37,60.66,2963.61,48.58,80.1
2023-08-07,22,37,51.39,2920.17,40.56,78.92
2023-08-08,18,37,50.0,2863.65,38.7,77.4
2023-08-09,17,35,50.0,2774.74,39.64,79.28
2023-08-10,29,45,65.22,3496.01,50.67,77.69
2023-08-11,38,56,76.71,4657.32,63.8,83.17
2023-08-12,37,61,82.43,5343.29,72.21,87.59
2023-08-13,24,40,71.43,3191.12,56.98,79.78
2023-08-14,19,40,58.82,3316.91,48.78,82.92
2023-08-15,28,44,62.86,3690.55,52.72,83.88
2023-08-16,17,43,58.11,3475.32,46.96,80.82
2023-08-17,18,37,50.68,2961.2,40.56,80.03
2023-08-18,42,57,78.08,4731.24,64.81,83.0
2023-08-19,47,67,91.78,6026.82,82.56,89.95
2023-08-20,18,43,66.15,3484.0,53.6,81.02
2023-08-21,37,54,76.06,4163.19,58.64,77.1
2023-08-22,22,47,66.2,3633.52,51.18,77.31
2023-08-23,35,63,90.0,4887.37,69.82,77.58
2023-08-24,31,63,90.0,4771.91,68.17,75.74
2023-08-25,36,61,82.43,5037.56,68.08,82.58
2023-08-26,34,65,90.28,5497.02,76.35,84.57
2023-08-27,14,39,63.93,3080.73,50.5,78.99
2023-08-28,21,40,54.05,3059.71,41.35,76.49
2023-08-29,21,41,55.41,3243.14,43.83,79.1
2023-08-30,31,54,73.97,4160.77,57.0,77.05
2023-08-31,23,47,63.51,3619.99,48.92,77.02
2023-09-01,44,63,86.3,5807.63,79.56,92.18
2023-09-02,49,77,98.72,8630.71,110.65,112.09
2023-09-03,22,40,54.05,3053.21,41.26,76.33
2023-09-04,21,32,43.84,2475.11,33.91,77.35
2023-09-05,24,36,49.32,2748.1,37.65,76.34
2023-09-06,23,40,54.79,3162.05,43.32,79.05
2023-09-07,14,34,47.22,2690.12,37.36,79.12
2023-09-08,42,58,79.45,5296.93,72.56,91.33
2023-09-09,35,57,79.17,5154.96,71.6,90.44
2023-09-10,28,48,66.67,3707.39,51.49,77.24
2023-09-11,25,50,69.44,3708.31,51.5,74.17
2023-09-12,29,58,80.56,4515.96,62.72,77.86
2023-09-13,28,60,82.19,4687.69,64.21,78.13
2023-09-14,34,69,94.52,5451.53,74.68,79.01
2023-09-15,36,62,86.11,5319.43,73.88,85.8
2023-09-16,35,61,84.72,5226.25,72.59,85.68
2023-09-17,25,49,68.06,3862.98,53.65,78.84
2023-09-18,29,54,75.0,4085.72,56.75,75.66
2023-09-19,44,73,100.0,5924.08,81.15,81.15
2023-09-20,25,51,69.86,4150.15,56.85,81.38
2023-09-21,21,48,65.75,3880.32,53.16,80.84
2023-09-22,31,53,72.6,4621.23,63.3,87.19
2023-09-23,51,73,93.59,6939.24,88.96,95.06
2023-09-24,25,46,63.89,3413.69,47.41,74.21
2023-09-25,24,46,63.01,3409.62,46.71,74.12
2023-09-26,23,40,56.34,2958.88,41.67,73.97
2023-09-27,26,45,63.38,3458.53,48.71,76.86
2023-09-28,28,53,74.65,4179.33,58.86,78.86
2023-09-29,43,68,94.44,7972.55,110.73,117.24
2023-09-30,36,78,100.0,10054.59,128.91,128.91
